M_sigma	S	Q_alpha	motif_ratio_summary	motif_ratio
0.51	0.8	Inf	0	0.36998512028917774
0.52	0	Inf	0	1
0.52	0.05	Inf	0	0.9675030753146407
0.52	0.1	Inf	0	0.9551934288423151
0.52	0.2	Inf	0	0.8659345623930095
0.52	0.4	Inf	0	0.7949171288195909
0.52	0.8	Inf	0	0.5388131145783626
0.53	0	Inf	0	1
0.53	0.05	Inf	0	0.9747964003238727
0.53	0.1	Inf	0	0.9377672513338376
0.53	0.2	Inf	0	0.9012883137484359
0.53	0.4	Inf	0	0.8001151037807824
0.53	0.8	Inf	0	0.49625296059948437
0.54	0	Inf	0	1
0.54	0.05	Inf	0	0.9699120805985564
0.54	0.1	Inf	0	0.9462974021175273
0.54	0.2	Inf	0	0.8545628706909777
0.54	0.4	Inf	0	0.7890424870442079
0.54	0.8	Inf	0	0.5511822828462247
0.55	0	Inf	0	1
0.55	0.05	Inf	0	0.9639981842202155
0.55	0.1	Inf	0	0.9488756755367515
0.55	0.2	Inf	0	0.9037681553371902
0.55	0.4	Inf	0	0.7186187383369183
0.55	0.8	Inf	0	0.4637675939632302
0.56	0	Inf	0	1
0.56	0.05	Inf	0	0.9728871546312557
0.56	0.1	Inf	0	0.9387930265124057
0.56	0.2	Inf	0	0.8905204575452362
0.56	0.4	Inf	0	0.7704046602666327
0.56	0.8	Inf	0	0.5953202798608372
0.57	0	Inf	0	1
0.57	0.05	Inf	0	0.9705080217928068
0.57	0.1	Inf	0	0.9426058978950822
0.57	0.2	Inf	0	0.8369990453381204
0.57	0.4	Inf	0	0.7496778740507163
0.57	0.8	Inf	0	0.5558975104111479
0.58	0	Inf	0	1
0.58	0.05	Inf	0	0.9687467130378049
0.58	0.1	Inf	0	0.9338801107207932
0.58	0.2	Inf	0	0.9175280112964039
0.58	0.4	Inf	0	0.7143433199267846
0.58	0.8	Inf	0	0.45423169411551245
0.59	0	Inf	0	1
0.59	0.05	Inf	0	0.9673091982491956
0.59	0.1	Inf	0	0.9462538352722515
0.59	0.2	Inf	0	0.873442965320531
0.59	0.4	Inf	0	0.767914762405645
0.59	0.8	Inf	0	0.41304670080131795
0.6	0	Inf	0	1
0.6	0.05	Inf	0	0.9659320810292737
0.6	0.1	Inf	0	0.9375169003420448
0.6	0.2	Inf	0	0.8438982997333145
0.6	0.4	Inf	0	0.824618081229048
0.6	0.8	Inf	0	0.5725552183757948
0.61	0	Inf	0	1
0.61	0.05	Inf	0	0.9742281278805329
0.61	0.1	Inf	0	0.9339768207681
0.61	0.2	Inf	0	0.8847141989103272
0.61	0.4	Inf	0	0.708671124126208
0.61	0.8	Inf	0	0.6930329570186654
0.62	0	Inf	0	1
0.62	0.05	Inf	0	0.9732992255635032
0.62	0.1	Inf	0	0.9311874985224391
0.62	0.2	Inf	0	0.8602965168318975
0.62	0.4	Inf	0	0.7103952744750999
0.62	0.8	Inf	0	0.5203158186316273
0.63	0	Inf	0	1
0.63	0.05	Inf	0	0.9703680506698545
0.63	0.1	Inf	0	0.9290426987508127
0.63	0.2	Inf	0	0.8750021954101332
0.63	0.4	Inf	0	0.7922650541546904
0.63	0.8	Inf	0	0.40990436507689665
0.64	0	Inf	0	1
0.64	0.05	Inf	0	0.9623147578806506
0.64	0.1	Inf	0	0.9385051277757515
0.64	0.2	Inf	0	0.896472099766396
0.64	0.4	Inf	0	0.7210030852897029
0.64	0.8	Inf	0	0.5094268140150625
0.65	0	Inf	0	1
0.65	0.05	Inf	0	0.9732063438869579
0.65	0.1	Inf	0	0.9343196028903127
0.65	0.2	Inf	0	0.8553717424119311
0.65	0.4	Inf	0	0.7854566291133075
0.65	0.8	Inf	0	0.48478612099723123
0.66	0	Inf	0	1
0.66	0.05	Inf	0	0.9734818825434164
0.66	0.1	Inf	0	0.9384058631137993
0.66	0.2	Inf	0	0.839527036986659
0.66	0.4	Inf	0	0.7610567293164553
0.66	0.8	Inf	0	0.44819368266150195
0.67	0	Inf	0	1
0.67	0.05	Inf	0	0.9657995262440313
0.67	0.1	Inf	0	0.9409634657610753
0.67	0.2	Inf	0	0.841991114058286
0.67	0.4	Inf	0	0.7586430899190156
0.67	0.8	Inf	0	0.5733117450544863
0.68	0	Inf	0	1
0.68	0.05	Inf	0	0.9653020016179856
0.68	0.1	Inf	0	0.9385245770979318
0.68	0.2	Inf	0	0.8641499011392787
0.68	0.4	Inf	0	0.713160882801562
0.68	0.8	Inf	0	0.5301275862904957
0.69	0	Inf	0	1
0.69	0.05	Inf	0	0.961460591406326
0.69	0.1	Inf	0	0.9260305044397754
0.69	0.2	Inf	0	0.8843578697643592
0.69	0.4	Inf	0	0.7766791256611336
0.69	0.8	Inf	0	0.48120895019948745
0.7	0	Inf	0	1
0.7	0.05	Inf	0	0.9764836495123369
0.7	0.1	Inf	0	0.9299780750684109
0.7	0.2	Inf	0	0.8707169680410376
0.7	0.4	Inf	0	0.7346816763297497
0.7	0.8	Inf	0	0.3310375849574976
0.71	0	Inf	0	1
0.71	0.05	Inf	0	0.9769691079257187
0.71	0.1	Inf	0	0.9495716142592656
0.71	0.2	Inf	0	0.8915400374640661
0.71	0.4	Inf	0	0.7015351479291061
0.71	0.8	Inf	0	0.5396813359603497
0.72	0	Inf	0	1
0.72	0.05	Inf	0	0.9635671001076828
0.72	0.1	Inf	0	0.9215028934658959
0.72	0.2	Inf	0	0.8682484401086029
0.72	0.4	Inf	0	0.6577792237200751
0.72	0.8	Inf	0	0.5020974589729753
0.73	0	Inf	0	1
0.73	0.05	Inf	0	0.9649835704858949
0.73	0.1	Inf	0	0.936856993369905
0.73	0.2	Inf	0	0.8735128614941413
0.73	0.4	Inf	0	0.7404935323789731
0.73	0.8	Inf	0	0.3572887993427809
0.74	0	Inf	0	1
0.74	0.05	Inf	0	0.9689984306391819
0.74	0.1	Inf	0	0.9338002549615146
0.74	0.2	Inf	0	0.8495071775433478
0.74	0.4	Inf	0	0.6665151255601145
0.74	0.8	Inf	0	0.4492795119117044
0.75	0	Inf	0	1
0.75	0.05	Inf	0	0.9626358647324453
0.75	0.1	Inf	0	0.9339778087626621
0.75	0.2	Inf	0	0.8994334160031667
0.75	0.4	Inf	0	0.7439171959036811
0.75	0.8	Inf	0	0.3742558005468793
0.76	0	Inf	0	1
0.76	0.05	Inf	0	0.9673149613673697
0.76	0.1	Inf	0	0.9191792226375924
0.76	0.2	Inf	0	0.8700611491775044
0.76	0.4	Inf	0	0.7551551526781154
0.76	0.8	Inf	0	0.5551342172226896
0.77	0	Inf	0	1
0.77	0.05	Inf	0	0.9649815803196061
0.77	0.1	Inf	0	0.9315011628190055
0.77	0.2	Inf	0	0.8539875507932725
0.77	0.4	Inf	0	0.6814626191738846
0.77	0.8	Inf	0	0.45471056714828817
0.78	0	Inf	0	1
0.78	0.05	Inf	0	0.9627622194090253
0.78	0.1	Inf	0	0.9310518592249233
0.78	0.2	Inf	0	0.8492441897695145
0.78	0.4	Inf	0	0.7080270621238222
0.78	0.8	Inf	0	0.34722198455524583
0.79	0	Inf	0	1
0.79	0.05	Inf	0	0.9677379351768434
0.79	0.1	Inf	0	0.9401881775826513
0.79	0.2	Inf	0	0.854449426351566
0.79	0.4	Inf	0	0.7003808581767277
0.79	0.8	Inf	0	0.504750531193731
0.8	0	Inf	0	1
0.8	0.05	Inf	0	0.9664995482512322
0.8	0.1	Inf	0	0.9316233631339144
0.8	0.2	Inf	0	0.8425575274787719
0.8	0.4	Inf	0	0.732576560595888
0.8	0.8	Inf	0	0.39743647482079425
0.81	0	Inf	0	1
0.81	0.05	Inf	0	0.9692706049511104
0.81	0.1	Inf	0	0.9397384720578761
0.81	0.2	Inf	0	0.8589596113893481
0.81	0.4	Inf	0	0.7112410882712731
0.81	0.8	Inf	0	0.37537419020725443
0.82	0	Inf	0	1
0.82	0.05	Inf	0	0.9684788158155622
0.82	0.1	Inf	0	0.9308700490043763
0.82	0.2	Inf	0	0.8679808127145885
0.82	0.4	Inf	0	0.7668540504700562
0.82	0.8	Inf	0	0.3367207469349466
0.83	0	Inf	0	1
0.83	0.05	Inf	0	0.9666055504856071
0.83	0.1	Inf	0	0.9519312484496489
0.83	0.2	Inf	0	0.8479115880745127
0.83	0.4	Inf	0	0.6469435007647116
0.83	0.8	Inf	0	0.48675924508956986
0.84	0	Inf	0	1
0.84	0.05	Inf	0	0.9641266672640416
0.84	0.1	Inf	0	0.9273203696272879
0.84	0.2	Inf	0	0.8608211919114025
0.84	0.4	Inf	0	0.7167728428351497
0.84	0.8	Inf	0	0.5317806854052816
0.85	0	Inf	0	1
0.85	0.05	Inf	0	0.9608291023878821
0.85	0.1	Inf	0	0.9240677375334876
0.85	0.2	Inf	0	0.843158488520228
0.85	0.4	Inf	0	0.7119909472177348
0.85	0.8	Inf	0	0.43327942967297933
0.86	0	Inf	0	1
0.86	0.05	Inf	0	0.9600042825177376
0.86	0.1	Inf	0	0.932402656941177
0.86	0.2	Inf	0	0.8439420948228925
0.86	0.4	Inf	0	0.6994763597766337
0.86	0.8	Inf	0	0.31005197299704684
0.87	0	Inf	0	1
0.87	0.05	Inf	0	0.9647764637775661
0.87	0.1	Inf	0	0.9276926117035146
0.87	0.2	Inf	0	0.8481616105716239
0.87	0.4	Inf	0	0.7359634935231095
0.87	0.8	Inf	0	0.4808916725621558
0.88	0	Inf	0	1
0.88	0.05	Inf	0	0.9601309697615886
0.88	0.1	Inf	0	0.9193426791219971
0.88	0.2	Inf	0	0.8657914960685483
0.88	0.4	Inf	0	0.689009974987535
0.88	0.8	Inf	0	0.37586297244299194
0.89	0	Inf	0	1
0.89	0.05	Inf	0	0.965658694585693
0.89	0.1	Inf	0	0.928555697377803
0.89	0.2	Inf	0	0.8466984032485079
0.89	0.4	Inf	0	0.6828631111079025
0.89	0.8	Inf	0	0.38552365500755087
0.9	0	Inf	0	1
0.9	0.05	Inf	0	0.9682370209515183
0.9	0.1	Inf	0	0.9291131286463387
0.9	0.2	Inf	0	0.8366279841816376
0.9	0.4	Inf	0	0.7524382825998633
0.9	0.8	Inf	0	0.355462314193201
0.91	0	Inf	0	1
0.91	0.05	Inf	0	0.9615897564052525
0.91	0.1	Inf	0	0.9291466735755968
0.91	0.2	Inf	0	0.8463986456948976
0.91	0.4	Inf	0	0.6905844687215859
0.91	0.8	Inf	0	0.3506267699851055
0.92	0	Inf	0	1
0.92	0.05	Inf	0	0.9629966990018854
0.92	0.1	Inf	0	0.91845356607812
0.92	0.2	Inf	0	0.8427803603552501
0.92	0.4	Inf	0	0.7090944093397785
0.92	0.8	Inf	0	0.5655401224302197
0.93	0	Inf	0	1
0.93	0.05	Inf	0	0.964072470378666
0.93	0.1	Inf	0	0.9355270386143104
0.93	0.2	Inf	0	0.8231635228864221
0.93	0.4	Inf	0	0.6483322154565745
0.93	0.8	Inf	0	0.4966619210200642
0.94	0	Inf	0	1
0.94	0.05	Inf	0	0.9609327449539273
0.94	0.1	Inf	0	0.9202980047218475
0.94	0.2	Inf	0	0.8409682048720803
0.94	0.4	Inf	0	0.6609923097603542
0.94	0.8	Inf	0	0.3467534822890031
0.95	0	Inf	0	1
0.95	0.05	Inf	0	0.9654500319673327
0.95	0.1	Inf	0	0.9341363545397732
0.95	0.2	Inf	0	0.8657440989757934
0.95	0.4	Inf	0	0.7513742072318607
0.95	0.8	Inf	0	0.41642274480466823
0.96	0	Inf	0	1
0.96	0.05	Inf	0	0.9606843115764996
0.96	0.1	Inf	0	0.9243783574692667
0.96	0.2	Inf	0	0.8418310808772143
0.96	0.4	Inf	0	0.6995226983008493
0.96	0.8	Inf	0	0.4358377333487864
0.97	0	Inf	0	1
0.97	0.05	Inf	0	0.966051861544361
0.97	0.1	Inf	0	0.9221524484008207
0.97	0.2	Inf	0	0.8339718274323727
0.97	0.4	Inf	0	0.7357072599050342
0.97	0.8	Inf	0	0.36874276511958665
0.98	0	Inf	0	1
0.98	0.05	Inf	0	0.9654657725336218
0.98	0.1	Inf	0	0.9261970316330255
0.98	0.2	Inf	0	0.8654907768459166
0.98	0.4	Inf	0	0.6786181930804916
0.98	0.8	Inf	0	0.4014878979144656
0.99	0	Inf	0	1
0.99	0.05	Inf	0	0.969996030021907
0.99	0.1	Inf	0	0.918934100531077
0.99	0.2	Inf	0	0.8449721804687301
0.99	0.4	Inf	0	0.6869776081010035
0.99	0.8	Inf	0	0.3379330752033347
1	0	Inf	0	1
1	0.05	Inf	0	0.9572685345428643
1	0.1	Inf	0	0.9156676992238427
1	0.2	Inf	0	0.8598135185697527
1	0.4	Inf	0	0.6651030020646823
1	0.8	Inf	0	0.2764280038971383
0	0	Inf	25	1
0	0.05	Inf	25	1
0	0.1	Inf	25	1
0	0.2	Inf	25	1
0	0.4	Inf	25	1
0	0.8	Inf	25	0.9999999999999999
0.01	0	Inf	25	1
0.01	0.05	Inf	25	0.9996781144977787
0.01	0.1	Inf	25	0.9994477852021915
0.01	0.2	Inf	25	0.9989164857012448
0.01	0.4	Inf	25	0.9980250192521384
0.01	0.8	Inf	25	0.9968614641429109
0.02	0	Inf	25	1
0.02	0.05	Inf	25	0.9992658299053933
0.02	0.1	Inf	25	0.9982811086766763
0.02	0.2	Inf	25	0.9980884593387886
0.02	0.4	Inf	25	0.9952939893828279
0.02	0.8	Inf	25	0.9871956118841076
0.03	0	Inf	25	1
0.03	0.05	Inf	25	0.9990000436547692
0.03	0.1	Inf	25	0.9976158929319228
0.03	0.2	Inf	25	0.9955408278271541
0.03	0.4	Inf	25	0.9890986382164844
0.03	0.8	Inf	25	0.9863292132123848
0.04	0	Inf	25	1
0.04	0.05	Inf	25	0.9985941193859182
0.04	0.1	Inf	25	0.9981521004724092
0.04	0.2	Inf	25	0.9931247113836497
0.04	0.4	Inf	25	0.9880377356338005
0.04	0.8	Inf	25	0.9796011830443478
0.05	0	Inf	25	1
0.05	0.05	Inf	25	0.998632279257915
0.05	0.1	Inf	25	0.9975848086604722
0.05	0.2	Inf	25	0.9934220491876764
0.05	0.4	Inf	25	0.9896687816104525
0.05	0.8	Inf	25	0.9772820717541383
0.06	0	Inf	25	1
0.06	0.05	Inf	25	0.9976702797351364
0.06	0.1	Inf	25	0.9973684800156045
0.06	0.2	Inf	25	0.9927251049004117
0.06	0.4	Inf	25	0.9910974959536585
0.06	0.8	Inf	25	0.9777801259922179
0.07	0	Inf	25	1
0.07	0.05	Inf	25	0.9984323799270378
