M_sigma	S	Q_alpha	motif_exon_summary	motif_exon
0.99	0.2	Inf	0	0.01702548136466715
0.99	0.4	Inf	0	0.021581396511366226
0.99	0.8	Inf	0	0.042001211742901966
1	0	Inf	0	0.0039114177470980825
1	0.05	Inf	0	0.006502710568875621
1	0.1	Inf	0	0.006498990858043785
1	0.2	Inf	0	0.014020414102963012
1	0.4	Inf	0	0.022592026052674845
1	0.8	Inf	0	0.04056301040026756
0	0	Inf	25	0.049999999999999996
0	0.05	Inf	25	0.049999999999999996
0	0.1	Inf	25	0.05
0	0.2	Inf	25	0.05
0	0.4	Inf	25	0.05
0	0.8	Inf	25	0.05
0.01	0	Inf	25	0.0496536101237959
