M_sigma	S	Q_alpha	motif_intron_summary	motif_intron
0.57	0.1	Inf	0	0.011936925423777035
0.57	0.2	Inf	0	0.010956515292538412
0.57	0.4	Inf	0	0.014774251848662552
0.57	0.8	Inf	0	0.01906801653125505
0.58	0	Inf	0	0.014196792391771016
0.58	0.05	Inf	0	0.015730827906206116
0.58	0.1	Inf	0	0.010649700299097693
0.58	0.2	Inf	0	0.013488944463462334
0.58	0.4	Inf	0	0.011473265253069779
0.58	0.8	Inf	0	0.01390826051655663
0.59	0	Inf	0	0.009716897741039059
0.59	0.05	Inf	0	0.018455335781264147
0.59	0.1	Inf	0	0.008695066492064769
0.59	0.2	Inf	0	0.010581148053929457
0.59	0.4	Inf	0	0.007672562896710086
0.59	0.8	Inf	0	0.013601225962367585
0.6	0	Inf	0	0.0156138018065462
0.6	0.05	Inf	0	0.02132454126981859
0.6	0.1	Inf	0	0.014346887754451193
0.6	0.2	Inf	0	0.00865094344358176
0.6	0.4	Inf	0	0.022385531437111438
0.6	0.8	Inf	0	0.012806284116929582
0.61	0	Inf	0	0.014846027674532799
0.61	0.05	Inf	0	0.01518430446480233
0.61	0.1	Inf	0	0.010153789580285625
0.61	0.2	Inf	0	0.012067083804836749
0.61	0.4	Inf	0	0.009509501792677316
0.61	0.8	Inf	0	0.01891318825854091
0.62	0	Inf	0	0.008972185306635965
0.62	0.05	Inf	0	0.021661748514456482
0.62	0.1	Inf	0	0.01430705059420957
0.62	0.2	Inf	0	0.01202130608550907
0.62	0.4	Inf	0	0.007586181041568545
0.62	0.8	Inf	0	0.01832311765310776
0.63	0	Inf	0	0.01883440391300763
0.63	0.05	Inf	0	0.015424794322266617
0.63	0.1	Inf	0	0.00917592361483401
0.63	0.2	Inf	0	0.009911643232860059
0.63	0.4	Inf	0	0.011211632708146707
0.63	0.8	Inf	0	0.019401232121574116
0.64	0	Inf	0	0.008975609033113676
0.64	0.05	Inf	0	0.01334515971392267
0.64	0.1	Inf	0	0.009564080701323264
0.64	0.2	Inf	0	0.01284211156882674
0.64	0.4	Inf	0	0.004042298540745424
0.64	0.8	Inf	0	0.016568981901489952
0.65	0	Inf	0	0.014927283054332099
0.65	0.05	Inf	0	0.016523105656446213
0.65	0.1	Inf	0	0.014636482768339338
0.65	0.2	Inf	0	0.011430798436313162
0.65	0.4	Inf	0	0.020804334226939444
0.65	0.8	Inf	0	0.008383527963519757
0.66	0	Inf	0	0.007638842905738848
0.66	0.05	Inf	0	0.010488574610045728
0.66	0.1	Inf	0	0.018366168007398893
0.66	0.2	Inf	0	0.012072303672275901
0.66	0.4	Inf	0	0.012290828083326554
0.66	0.8	Inf	0	0.010625626286915183
0.67	0	Inf	0	0.01179854163054547
0.67	0.05	Inf	0	0.00760949659126902
0.67	0.1	Inf	0	0.017125791894075017
0.67	0.2	Inf	0	0.009581814985183694
0.67	0.4	Inf	0	0.016241025018659653
0.67	0.8	Inf	0	0.018437660554155785
0.68	0	Inf	0	0.013598210164408516
0.68	0.05	Inf	0	0.008314250434885977
0.68	0.1	Inf	0	0.013512347959715766
0.68	0.2	Inf	0	0.01285362147256675
0.68	0.4	Inf	0	0.011441407822570427
0.68	0.8	Inf	0	0.008372436328624234
0.69	0	Inf	0	0.010934345432063581
0.69	0.05	Inf	0	0.006471923432875611
0.69	0.1	Inf	0	0.014727748113535463
0.69	0.2	Inf	0	0.022132536776853104
0.69	0.4	Inf	0	0.01681135870514694
0.69	0.8	Inf	0	0.013949562726470464
0.7	0	Inf	0	0.009368670616368155
0.7	0.05	Inf	0	0.008871215432911682
