init_cond	constr_cond	run_number	seq_length	mutation	mut_scaled	mutation_tot	mut_scaled_tot	mut_mean	esr_mean	A3SS_R1_mean	A3SS_R2_mean	A5SS_R1_mean	A5SS_R2_mean
exon	neutral	1	936	2620	2.79914529915	2701	2.88568376068	0.0039460187229344735	-0.12279979330827066	0.3367660964574752	-0.5511310693376956	-0.16079478990636245	0.12721210353304518
exon	neutral	1	936	2808	3.0	2894	3.0918803418799996	0.004026147248219373	-0.11672098960257787	0.2811446508883101	-0.49579676548530405	-0.13197528982890908	0.10764173926290788
exon	neutral	1	936	2995	3.1997863247900002	3088	3.29914529915	0.0038627656396011396	-0.11889713719656285	0.26104258969071065	-0.512748061703104	-0.1677335348715147	0.10999676020680568
exon	neutral	1	936	3182	3.39957264957	3279	3.50320512821	0.0038812213194444442	-0.0894963327282492	0.246324951396805	-0.4625519006898824	-0.11861306897575695	0.11439147489162137
exon	neutral	1	936	3369	3.59935897436	3479	3.71688034188	0.004074807638176638	-0.08788783237379162	0.2605296919867951	-0.4074423819259477	-0.04515813826159855	0.11342386042349763
exon	neutral	1	936	3556	3.79914529915	3673	3.92414529915	0.003974049512820513	-0.07727741810955963	0.26616289194847215	-0.412377563438988	-0.0633983286496613	0.12227846833556413
exon	neutral	1	936	3744	4.0	3866	4.1303418803400005	0.003914658663817664	-0.06908086842105264	0.2305454858840606	-0.37474596867617255	-0.05636077440969065	0.12839108824832576
exon	neutral	1	936	3931	4.199786324790001	4059	4.33653846154	0.004035096537037037	-0.06383837105263157	0.2350472743704531	-0.3790271646934292	-0.04661265177857608	0.12342379642063729
exon	neutral	1	936	4118	4.39957264957	4258	4.54914529915	0.004022549366096866	-0.07920256335123524	0.2800301183359543	-0.3957434699554282	-0.06622334550396294	0.13567158835088644
exon	neutral	1	936	4305	4.59935897436	4452	4.75641025641	0.0040067702752849	-0.09979788758324382	0.3205974712575078	-0.47315642022634896	-0.1184192879719362	0.13648488122281757
exon	neutral	1	936	4492	4.79914529915	4647	4.96474358974	0.0040749908254985754	-0.10895155209452201	0.3067128684636897	-0.5309829300464652	-0.16012781412907487	0.12219229382495922
exon	neutral	1	936	4680	5.0	4841	5.17200854701	0.004190298731837607	-0.08521296316863587	0.27033059042319063	-0.40993562652323545	-0.05878974544547038	0.11638567567824751
exon	neutral	1	936	4867	5.199786324790001	5032	5.37606837607	0.003835254591880342	-0.0979875889473684	0.30662487721253057	-0.46351552833177895	-0.12128763199391975	0.1405656796483475
exon	neutral	1	936	5054	5.3995726495700005	5225	5.58226495726	0.004183211440883191	-0.0935282714500537	0.318078503230572	-0.47747255083382456	-0.14153066309178763	0.13712375702776544
